
resource_id,uv_id,uv_title,source,resource_type,title,url,language,license,collected_at,download_allowed
R1401,SR04,SR04,MIT OCW,course,Computer Networks,https://ocw.mit.edu/courses/6-829-computer-networks/,en,CC BY-NC-SA 4.0,2026-01-12T14:53:34+01:00,true
R1402,SR04,SR04,MIT OCW,course,Distributed Computer Systems Engineering,https://ocw.mit.edu/courses/6-824-distributed-computer-systems-engineering/,en,CC BY-NC-SA 4.0,2026-01-12T14:53:34+01:00,true
R1403,SR04,SR04,MIT OCW,course,Network and Computer Security,https://ocw.mit.edu/courses/6-857-network-and-computer-security/,en,CC BY-NC-SA 4.0,2026-01-12T14:53:34+01:00,true
R1404,SR04,SR04,MIT OCW,course,Introduction to EECS II: Digital Communication Systems,https://ocw.mit.edu/courses/6-02-introduction-to-eecs-ii-digital-communication-systems/,en,CC BY-NC-SA 4.0,2026-01-12T14:53:34+01:00,true
R1405,SR04,SR04,MIT OCW,course,Computer System Engineering,https://ocw.mit.edu/courses/6-033-computer-system-engineering/,en,CC BY-NC-SA 4.0,2026-01-12T14:53:34+01:00,true
R1406,SR04,SR04,OpenStax,section,Distributed File Systems (Section 6.5),https://openstax.org/books/introduction-computer-science/pages/6-5-file-systems,en,CC BY 4.0,2026-01-12T14:53:34+01:00,true
R1407,SR04,SR04,OpenStax,section,Parallel Programming Models (Section 4.3),https://openstax.org/books/introduction-computer-science/pages/4-3-parallel-programming-models,en,CC BY 4.0,2026-01-12T14:53:34+01:00,true
R1408,SR04,SR04,OpenStax,section,Network Design Application of Algorithms (Appendix A),https://openstax.org/books/introduction-computer-science/pages/a-network-design-application-of-algorithms,en,CC BY 4.0,2026-01-12T14:53:34+01:00,true
R1409,SR04,SR04,Lumen Learning,article,I Dream of IoT: Connecting the Physical and Virtual World,https://courses.lumenlearning.com/informationliteracy/chapter/i-dream-of-iot/,en,CC BY,2026-01-12T14:53:34+01:00,true
R1410,SR04,SR04,Lumen Learning,article,Why It Matters: Cloud Computing,https://courses.lumenlearning.com/waymaker-computerappsformanagers/chapter/why-it-matters-cloud-computing/,en,CC BY,2026-01-12T14:53:34+01:00,true
R1411,SR04,SR04,Lumen Learning,article,Computer Networks and Cloud Computing,https://courses.lumenlearning.com/wm-introductiontobusiness/chapter/computer-networks-and-cloud-computing/,en,CC BY-NC-SA,2026-01-12T14:53:34+01:00,true
R1412,SR04,SR04,GNSS-SDR,tutorial,Cross‑Compiling for Embedded Systems,https://gnss-sdr.org/docs/spoons/signal-processing-overview/cross-compiling/,en,CC BY 4.0,2026-01-12T14:53:34+01:00,true
R1413,SR04,SR04,ArchWiki,guide,Creating cross‑compiling toolchains,https://wiki.archlinux.org/title/Cross-compiling,en,GFDL 1.3,2026-01-12T14:53:34+01:00,true
R1414,SR04,SR04,Open Textbook,book,Introduction to Computer Networks (Preface and Chapter 1),https://intronetworks.cs.luc.edu/current/html/intro.html,en,CC BY-NC-ND,2026-01-12T14:53:34+01:00,true
R1415,SR04,SR04,OpenStax,section,Computer Hardware and Networks (Section 1.2),https://openstax.org/books/workplace-software-skills/pages/1-2-computer-hardware-and-networks,en,CC BY 4.0,2026-01-12T14:53:34+01:00,true
R1416,SR04,SR04,OpenStax,section,"The Internet, Cloud Computing, and the Internet of Things (Section 1.3)",https://openstax.org/books/workplace-software-skills/pages/1-3-the-internet-cloud-computing-and-the-internet-of-things,en,CC BY 4.0,2026-01-12T14:53:34+01:00,true
R1417,SR04,SR04,OpenStax,section,Introduction to Cloud‑Native Applications (Section 12.1),https://openstax.org/books/introduction-computer-science/pages/12-1-introduction-to-cloud-native-applications,en,CC BY 4.0,2026-01-12T14:53:34+01:00,true
